Expert,SRS,Layer,Criterion,Score
H3,SRS #11,Model,Attribute Accuracy,3
H3,SRS #11,Model,Relationship Logic,3
H3,SRS #11,Model,Naming Consistency,3
H3,SRS #11,View,Screen Coverage,5
H3,SRS #11,View,User Journey Alignment,4
H3,SRS #11,View,Abstraction Level,5
H3,SRS #11,View,Hallucination Control,5
H3,SRS #11,Controller,Action Definition,5
H3,SRS #11,Controller,M-V-C Linkage,5
H3,SRS #11,Controller,Separation of Concerns,5
H3,SRS #11,Controller,Functional Completeness,4
H4,SRS #11,Model,Entity Extraction,3
H4,SRS #11,Model,Attribute Accuracy,4
H4,SRS #11,Model,Relationship Logic,3
H4,SRS #11,Model,Naming Consistency,3
H4,SRS #11,View,Screen Coverage,4
H4,SRS #11,View,User Journey Alignment,5
H4,SRS #11,View,Abstraction Level,5
H4,SRS #11,View,Hallucination Control,5
H4,SRS #11,Controller,Action Definition,5
H4,SRS #11,Controller,M-V-C Linkage,4
H4,SRS #11,Controller,Separation of Concerns,5
H4,SRS #11,Controller,Functional Completeness,5
H5,SRS #11,Model,Entity Extraction,4
H5,SRS #11,Model,Attribute Accuracy,3
H5,SRS #11,Model,Relationship Logic,3
H5,SRS #11,Model,Naming Consistency,3
H5,SRS #11,View,Screen Coverage,5
H5,SRS #11,View,User Journey Alignment,5
H5,SRS #11,View,Abstraction Level,4
H5,SRS #11,View,Hallucination Control,5
H5,SRS #11,Controller,Action Definition,5
H5,SRS #11,Controller,M-V-C Linkage,5
H5,SRS #11,Controller,Separation of Concerns,5
H5,SRS #11,Controller,Functional Completeness,5
H1,SRS #12,Model,Entity Extraction,3
H1,SRS #12,Model,Attribute Accuracy,2
H1,SRS #12,Model,Relationship Logic,2
H1,SRS #12,Model,Naming Consistency,3
H1,SRS #12,View,Screen Coverage,5
H1,SRS #12,View,User Journey Alignment,5
H1,SRS #12,View,Abstraction Level,5
H1,SRS #12,View,Hallucination Control,5
H1,SRS #12,Controller,Action Definition,4
H1,SRS #12,Controller,M-V-C Linkage,4
H1,SRS #12,Controller,Separation of Concerns,3
H1,SRS #12,Controller,Functional Completeness,4
H2,SRS #12,Model,Entity Extraction,2
H2,SRS #12,Model,Attribute Accuracy,3
H2,SRS #12,Model,Relationship Logic,3
H2,SRS #12,Model,Naming Consistency,2
H2,SRS #12,View,Screen Coverage,5
H2,SRS #12,View,User Journey Alignment,5
H2,SRS #12,View,Abstraction Level,5
H2,SRS #12,View,Hallucination Control,5
H2,SRS #12,Controller,Action Definition,3
H2,SRS #12,Controller,M-V-C Linkage,4
H2,SRS #12,Controller,Separation of Concerns,4
H2,SRS #12,Controller,Functional Completeness,3
H3,SRS #12,Model,Entity Extraction,3
H3,SRS #12,Model,Attribute Accuracy,2
H3,SRS #12,Model,Relationship Logic,2
H3,SRS #12,Model,Naming Consistency,3
H3,SRS #12,View,Screen Coverage,5
H3,SRS #12,View,User Journey Alignment,5
H3,SRS #12,View,Abstraction Level,5
H3,SRS #12,View,Hallucination Control,5
H3,SRS #12,Controller,Action Definition,4
H3,SRS #12,Controller,M-V-C Linkage,4
H3,SRS #12,Controller,Separation of Concerns,3
H3,SRS #12,Controller,Functional Completeness,4
H4,SRS #12,Model,Entity Extraction,2
H4,SRS #12,Model,Attribute Accuracy,3
H4,SRS #12,Model,Relationship Logic,3
H4,SRS #12,Model,Naming Consistency,2
H4,SRS #12,View,Screen Coverage,5
H4,SRS #12,View,User Journey Alignment,5
H4,SRS #12,View,Abstraction Level,5
H4,SRS #12,View,Hallucination Control,5
H4,SRS #12,Controller,Action Definition,3
H4,SRS #12,Controller,M-V-C Linkage,4
H4,SRS #12,Controller,Separation of Concerns,4
H4,SRS #12,Controller,Functional Completeness,3
H5,SRS #12,Model,Entity Extraction,3
H5,SRS #12,Model,Attribute Accuracy,2
H5,SRS #12,Model,Relationship Logic,2
H5,SRS #12,Model,Naming Consistency,2
H5,SRS #12,View,Screen Coverage,5
H5,SRS #12,View,User Journey Alignment,5
H5,SRS #12,View,Abstraction Level,5
H5,SRS #12,View,Hallucination Control,5
H5,SRS #12,Controller,Action Definition,4
H5,SRS #12,Controller,M-V-C Linkage,4
H5,SRS #12,Controller,Separation of Concerns,3
H5,SRS #12,Controller,Functional Completeness,4
H1,SRS #13,Model,Entity Extraction,3
H1,SRS #13,Model,Attribute Accuracy,2
H1,SRS #13,Model,Relationship Logic,2
H1,SRS #13,Model,Naming Consistency,3
H1,SRS #13,View,Screen Coverage,5
H1,SRS #13,View,User Journey Alignment,5
H1,SRS #13,View,Abstraction Level,4
H1,SRS #13,View,Hallucination Control,5
H1,SRS #13,Controller,Action Definition,3
H1,SRS #13,Controller,M-V-C Linkage,3
H1,SRS #13,Controller,Separation of Concerns,2
H1,SRS #13,Controller,Functional Completeness,4
H2,SRS #13,Model,Entity Extraction,2
H2,SRS #13,Model,Attribute Accuracy,3
H2,SRS #13,Model,Relationship Logic,3
H2,SRS #13,Model,Naming Consistency,2
H2,SRS #13,View,Screen Coverage,5
H2,SRS #13,View,User Journey Alignment,5
H2,SRS #13,View,Abstraction Level,5
H2,SRS #13,View,Hallucination Control,4
H2,SRS #13,Controller,Action Definition,2
H2,SRS #13,Controller,M-V-C Linkage,4
H2,SRS #13,Controller,Separation of Concerns,3
H2,SRS #13,Controller,Functional Completeness,3
H3,SRS #13,Model,Entity Extraction,3
H3,SRS #13,Model,Attribute Accuracy,2
H3,SRS #13,Model,Relationship Logic,2
H3,SRS #13,Model,Naming Consistency,3
H3,SRS #13,View,Screen Coverage,5
H3,SRS #13,View,User Journey Alignment,4
H3,SRS #13,View,Abstraction Level,5
H3,SRS #13,View,Hallucination Control,5
H3,SRS #13,Controller,Action Definition,3
H3,SRS #13,Controller,M-V-C Linkage,3
H3,SRS #13,Controller,Separation of Concerns,3
H3,SRS #13,Controller,Functional Completeness,3
H4,SRS #13,Model,Entity Extraction,2
H4,SRS #13,Model,Attribute Accuracy,3
H4,SRS #13,Model,Relationship Logic,3
H4,SRS #13,Model,Naming Consistency,2
H4,SRS #13,View,Screen Coverage,4
H4,SRS #13,View,User Journey Alignment,5
H4,SRS #13,View,Abstraction Level,5
H4,SRS #13,View,Hallucination Control,5
H4,SRS #13,Controller,Action Definition,4
H4,SRS #13,Controller,M-V-C Linkage,2
H4,SRS #13,Controller,Separation of Concerns,3
H4,SRS #13,Controller,Functional Completeness,3
H5,SRS #13,Model,Entity Extraction,3
H5,SRS #13,Model,Attribute Accuracy,2
H5,SRS #13,Model,Relationship Logic,2
H5,SRS #13,Model,Naming Consistency,2
H5,SRS #13,View,Screen Coverage,5
H5,SRS #13,View,User Journey Alignment,5
H5,SRS #13,View,Abstraction Level,4
H5,SRS #13,View,Hallucination Control,5
H5,SRS #13,Controller,Action Definition,3
H5,SRS #13,Controller,M-V-C Linkage,3
H5,SRS #13,Controller,Separation of Concerns,4
H5,SRS #13,Controller,Functional Completeness,2
H1,SRS #14,Model,Entity Extraction,3
H1,SRS #14,Model,Attribute Accuracy,3
H1,SRS #14,Model,Relationship Logic,2
H1,SRS #14,Model,Naming Consistency,3
H1,SRS #14,View,Screen Coverage,5
H1,SRS #14,View,User Journey Alignment,5
H1,SRS #14,View,Abstraction Level,4
H1,SRS #14,View,Hallucination Control,5
H1,SRS #14,Controller,Action Definition,4
H1,SRS #14,Controller,M-V-C Linkage,4
H1,SRS #14,Controller,Separation of Concerns,3
H1,SRS #14,Controller,Functional Completeness,4
H2,SRS #14,Model,Entity Extraction,3
H2,SRS #14,Model,Attribute Accuracy,2
H2,SRS #14,Model,Relationship Logic,3
H2,SRS #14,Model,Naming Consistency,3
H2,SRS #14,View,Screen Coverage,5
H2,SRS #14,View,User Journey Alignment,5
H2,SRS #14,View,Abstraction Level,5
H2,SRS #14,View,Hallucination Control,4
H2,SRS #14,Controller,Action Definition,4
H2,SRS #14,Controller,M-V-C Linkage,4
H2,SRS #14,Controller,Separation of Concerns,4
H2,SRS #14,Controller,Functional Completeness,3
H3,SRS #14,Model,Entity Extraction,3
H3,SRS #14,Model,Attribute Accuracy,3
H3,SRS #14,Model,Relationship Logic,2
H3,SRS #14,Model,Naming Consistency,3
H3,SRS #14,View,Screen Coverage,5
H3,SRS #14,View,User Journey Alignment,4
H3,SRS #14,View,Abstraction Level,5
H3,SRS #14,View,Hallucination Control,5
H3,SRS #14,Controller,Action Definition,4
H3,SRS #14,Controller,M-V-C Linkage,4
H3,SRS #14,Controller,Separation of Concerns,3
H3,SRS #14,Controller,Functional Completeness,4
H4,SRS #14,Model,Entity Extraction,2
H4,SRS #14,Model,Attribute Accuracy,3
H4,SRS #14,Model,Relationship Logic,3
H4,SRS #14,Model,Naming Consistency,3
H4,SRS #14,View,Screen Coverage,4
H4,SRS #14,View,User Journey Alignment,5
H4,SRS #14,View,Abstraction Level,5
H4,SRS #14,View,Hallucination Control,5
H4,SRS #14,Controller,Action Definition,4
H4,SRS #14,Controller,M-V-C Linkage,4
H4,SRS #14,Controller,Separation of Concerns,4
H4,SRS #14,Controller,Functional Completeness,3
H5,SRS #14,Model,Entity Extraction,3
H5,SRS #14,Model,Attribute Accuracy,3
H5,SRS #14,Model,Relationship Logic,2
H5,SRS #14,Model,Naming Consistency,2
H5,SRS #14,View,Screen Coverage,5
H5,SRS #14,View,User Journey Alignment,5
H5,SRS #14,View,Abstraction Level,4
H5,SRS #14,View,Hallucination Control,5
H5,SRS #14,Controller,Action Definition,4
H5,SRS #14,Controller,M-V-C Linkage,4
H5,SRS #14,Controller,Separation of Concerns,4
H5,SRS #14,Controller,Functional Completeness,4
H1,SRS #15,Model,Entity Extraction,3
H1,SRS #15,Model,Attribute Accuracy,3
H1,SRS #15,Model,Relationship Logic,2
H1,SRS #15,Model,Naming Consistency,3
H1,SRS #15,View,Screen Coverage,4
H1,SRS #15,View,User Journey Alignment,4
H1,SRS #15,View,Abstraction Level,4
H1,SRS #15,View,Hallucination Control,4
H1,SRS #15,Controller,Action Definition,4
H1,SRS #15,Controller,M-V-C Linkage,4
H1,SRS #15,Controller,Separation of Concerns,4
H1,SRS #15,Controller,Functional Completeness,4
H2,SRS #15,Model,Entity Extraction,3
H2,SRS #15,Model,Attribute Accuracy,2
H2,SRS #15,Model,Relationship Logic,3
H2,SRS #15,Model,Naming Consistency,3
H2,SRS #15,View,Screen Coverage,4
H2,SRS #15,View,User Journey Alignment,4
H2,SRS #15,View,Abstraction Level,4
H2,SRS #15,View,Hallucination Control,3
H2,SRS #15,Controller,Action Definition,4
H2,SRS #15,Controller,M-V-C Linkage,4
H2,SRS #15,Controller,Separation of Concerns,4
H2,SRS #15,Controller,Functional Completeness,4
H3,SRS #15,Model,Entity Extraction,3
H3,SRS #15,Model,Attribute Accuracy,3
H3,SRS #15,Model,Relationship Logic,2
H3,SRS #15,Model,Naming Consistency,2
H3,SRS #15,View,Screen Coverage,4
H3,SRS #15,View,User Journey Alignment,3
H3,SRS #15,View,Abstraction Level,4
H3,SRS #15,View,Hallucination Control,4
H3,SRS #15,Controller,Action Definition,4
H3,SRS #15,Controller,M-V-C Linkage,4
H3,SRS #15,Controller,Separation of Concerns,4
H3,SRS #15,Controller,Functional Completeness,4
H4,SRS #15,Model,Entity Extraction,2
H4,SRS #15,Model,Attribute Accuracy,3
H4,SRS #15,Model,Relationship Logic,3
H4,SRS #15,Model,Naming Consistency,3
H4,SRS #15,View,Screen Coverage,3
H4,SRS #15,View,User Journey Alignment,4
H4,SRS #15,View,Abstraction Level,4
H4,SRS #15,View,Hallucination Control,4
H4,SRS #15,Controller,Action Definition,4
H4,SRS #15,Controller,M-V-C Linkage,4
H4,SRS #15,Controller,Separation of Concerns,4
H4,SRS #15,Controller,Functional Completeness,3
H5,SRS #15,Model,Entity Extraction,3
H5,SRS #15,Model,Attribute Accuracy,3
H5,SRS #15,Model,Relationship Logic,3
H5,SRS #15,Model,Naming Consistency,2
H5,SRS #15,View,Screen Coverage,4
H5,SRS #15,View,User Journey Alignment,4
H5,SRS #15,View,Abstraction Level,3
H5,SRS #15,View,Hallucination Control,4
H5,SRS #15,Controller,Action Definition,4
H5,SRS #15,Controller,M-V-C Linkage,4
H5,SRS #15,Controller,Separation of Concerns,4
H5,SRS #15,Controller,Functional Completeness,4
H1,SRS #16,Model,Entity Extraction,4
H1,SRS #16,Model,Attribute Accuracy,3
H1,SRS #16,Model,Relationship Logic,3
H1,SRS #16,Model,Naming Consistency,4
H1,SRS #16,View,Screen Coverage,4
H1,SRS #16,View,User Journey Alignment,4
H1,SRS #16,View,Abstraction Level,4
H1,SRS #16,View,Hallucination Control,5
H1,SRS #16,Controller,Action Definition,4
H1,SRS #16,Controller,M-V-C Linkage,4
H1,SRS #16,Controller,Separation of Concerns,4
H1,SRS #16,Controller,Functional Completeness,5
H2,SRS #16,Model,Entity Extraction,3
H2,SRS #16,Model,Attribute Accuracy,4
H2,SRS #16,Model,Relationship Logic,4
H2,SRS #16,Model,Naming Consistency,3
H2,SRS #16,View,Screen Coverage,4
H2,SRS #16,View,User Journey Alignment,5
H2,SRS #16,View,Abstraction Level,4
H2,SRS #16,View,Hallucination Control,4
H2,SRS #16,Controller,Action Definition,4
H2,SRS #16,Controller,M-V-C Linkage,4
H2,SRS #16,Controller,Separation of Concerns,4
H2,SRS #16,Controller,Functional Completeness,4
H3,SRS #16,Model,Entity Extraction,4
H3,SRS #16,Model,Attribute Accuracy,3
H3,SRS #16,Model,Relationship Logic,3
H3,SRS #16,Model,Naming Consistency,4
H3,SRS #16,View,Screen Coverage,4
H3,SRS #16,View,User Journey Alignment,4
H3,SRS #16,View,Abstraction Level,5
H3,SRS #16,View,Hallucination Control,5
H3,SRS #16,Controller,Action Definition,4
H3,SRS #16,Controller,M-V-C Linkage,4
H3,SRS #16,Controller,Separation of Concerns,4
H3,SRS #16,Controller,Functional Completeness,5
H4,SRS #16,Model,Entity Extraction,3
H4,SRS #16,Model,Attribute Accuracy,4
H4,SRS #16,Model,Relationship Logic,4
H4,SRS #16,Model,Naming Consistency,3
H4,SRS #16,View,Screen Coverage,4
H4,SRS #16,View,User Journey Alignment,5
H4,SRS #16,View,Abstraction Level,4
H4,SRS #16,View,Hallucination Control,4
H4,SRS #16,Controller,Action Definition,4
H4,SRS #16,Controller,M-V-C Linkage,4
H4,SRS #16,Controller,Separation of Concerns,4
H4,SRS #16,Controller,Functional Completeness,4
H5,SRS #16,Model,Entity Extraction,4
H5,SRS #16,Model,Attribute Accuracy,3
H5,SRS #16,Model,Relationship Logic,3
H5,SRS #16,Model,Naming Consistency,3
H5,SRS #16,View,Screen Coverage,4
H5,SRS #16,View,User Journey Alignment,4
H5,SRS #16,View,Abstraction Level,4
H5,SRS #16,View,Hallucination Control,5
H5,SRS #16,Controller,Action Definition,4
H5,SRS #16,Controller,M-V-C Linkage,4
H5,SRS #16,Controller,Separation of Concerns,4
H5,SRS #16,Controller,Functional Completeness,4
H1,SRS #17,Model,Entity Extraction,4
H1,SRS #17,Model,Attribute Accuracy,3
H1,SRS #17,Model,Relationship Logic,3
H1,SRS #17,Model,Naming Consistency,3
H1,SRS #17,View,Screen Coverage,4
H1,SRS #17,View,User Journey Alignment,4
H1,SRS #17,View,Abstraction Level,4
H1,SRS #17,View,Hallucination Control,5
H1,SRS #17,Controller,Action Definition,5
H1,SRS #17,Controller,M-V-C Linkage,5
H1,SRS #17,Controller,Separation of Concerns,4
H1,SRS #17,Controller,Functional Completeness,5
H2,SRS #17,Model,Entity Extraction,3
H2,SRS #17,Model,Attribute Accuracy,3
H2,SRS #17,Model,Relationship Logic,3
H2,SRS #17,Model,Naming Consistency,3
H2,SRS #17,View,Screen Coverage,4
H2,SRS #17,View,User Journey Alignment,5
H2,SRS #17,View,Abstraction Level,4
H2,SRS #17,View,Hallucination Control,4
H2,SRS #17,Controller,Action Definition,4
H2,SRS #17,Controller,M-V-C Linkage,5
H2,SRS #17,Controller,Separation of Concerns,5
H2,SRS #17,Controller,Functional Completeness,4
H3,SRS #17,Model,Entity Extraction,4
H3,SRS #17,Model,Attribute Accuracy,3
H3,SRS #17,Model,Relationship Logic,3
H3,SRS #17,Model,Naming Consistency,3
H3,SRS #17,View,Screen Coverage,4
H3,SRS #17,View,User Journey Alignment,4
H3,SRS #17,View,Abstraction Level,5
H3,SRS #17,View,Hallucination Control,5
H3,SRS #17,Controller,Action Definition,5
H3,SRS #17,Controller,M-V-C Linkage,5
H3,SRS #17,Controller,Separation of Concerns,4
H3,SRS #17,Controller,Functional Completeness,5
H4,SRS #17,Model,Entity Extraction,3
H4,SRS #17,Model,Attribute Accuracy,3
H4,SRS #17,Model,Relationship Logic,3
H4,SRS #17,Model,Naming Consistency,3
H4,SRS #17,View,Screen Coverage,4
H4,SRS #17,View,User Journey Alignment,5
H4,SRS #17,View,Abstraction Level,4
H4,SRS #17,View,Hallucination Control,4
H4,SRS #17,Controller,Action Definition,4
H4,SRS #17,Controller,M-V-C Linkage,5
H4,SRS #17,Controller,Separation of Concerns,5
H4,SRS #17,Controller,Functional Completeness,4
H5,SRS #17,Model,Entity Extraction,4
H5,SRS #17,Model,Attribute Accuracy,3
H5,SRS #17,Model,Relationship Logic,3
H5,SRS #17,Model,Naming Consistency,3
H5,SRS #17,View,Screen Coverage,4
H5,SRS #17,View,User Journey Alignment,4
H5,SRS #17,View,Abstraction Level,4
H5,SRS #17,View,Hallucination Control,5
H5,SRS #17,Controller,Action Definition,5
H5,SRS #17,Controller,M-V-C Linkage,4
H5,SRS #17,Controller,Separation of Concerns,4
H5,SRS #17,Controller,Functional Completeness,5
H1,SRS #18,Model,Entity Extraction,4
H1,SRS #18,Model,Attribute Accuracy,3
H1,SRS #18,Model,Relationship Logic,3
H1,SRS #18,Model,Naming Consistency,3
H1,SRS #18,View,Screen Coverage,5
H1,SRS #18,View,User Journey Alignment,5
H1,SRS #18,View,Abstraction Level,4
H1,SRS #18,View,Hallucination Control,5
H1,SRS #18,Controller,Action Definition,4
H1,SRS #18,Controller,M-V-C Linkage,4
H1,SRS #18,Controller,Separation of Concerns,3
H1,SRS #18,Controller,Functional Completeness,4
H2,SRS #18,Model,Entity Extraction,3
H2,SRS #18,Model,Attribute Accuracy,3
H2,SRS #18,Model,Relationship Logic,3
H2,SRS #18,Model,Naming Consistency,3
H2,SRS #18,View,Screen Coverage,5
H2,SRS #18,View,User Journey Alignment,5
H2,SRS #18,View,Abstraction Level,5
H2,SRS #18,View,Hallucination Control,4
H2,SRS #18,Controller,Action Definition,3
H2,SRS #18,Controller,M-V-C Linkage,4
H2,SRS #18,Controller,Separation of Concerns,4
H2,SRS #18,Controller,Functional Completeness,3
H3,SRS #18,Model,Entity Extraction,4
H3,SRS #18,Model,Attribute Accuracy,3
H3,SRS #18,Model,Relationship Logic,3
H3,SRS #18,Model,Naming Consistency,3
H3,SRS #18,View,Screen Coverage,5
H3,SRS #18,View,User Journey Alignment,4
H3,SRS #18,View,Abstraction Level,5
H3,SRS #18,View,Hallucination Control,5
H3,SRS #18,Controller,Action Definition,4
H3,SRS #18,Controller,M-V-C Linkage,4
H3,SRS #18,Controller,Separation of Concerns,3
H3,SRS #18,Controller,Functional Completeness,4
H4,SRS #18,Model,Entity Extraction,3
H4,SRS #18,Model,Attribute Accuracy,3
H4,SRS #18,Model,Relationship Logic,3
H4,SRS #18,Model,Naming Consistency,3
H4,SRS #18,View,Screen Coverage,4
H4,SRS #18,View,User Journey Alignment,5
H4,SRS #18,View,Abstraction Level,5
H4,SRS #18,View,Hallucination Control,5
H4,SRS #18,Controller,Action Definition,3
H4,SRS #18,Controller,M-V-C Linkage,4
H4,SRS #18,Controller,Separation of Concerns,4
H4,SRS #18,Controller,Functional Completeness,3
H5,SRS #18,Model,Entity Extraction,4
H5,SRS #18,Model,Attribute Accuracy,3
H5,SRS #18,Model,Relationship Logic,3
H5,SRS #18,Model,Naming Consistency,3
H5,SRS #18,View,Screen Coverage,5
H5,SRS #18,View,User Journey Alignment,5
H5,SRS #18,View,Abstraction Level,4
H5,SRS #18,View,Hallucination Control,5
H5,SRS #18,Controller,Action Definition,4
H5,SRS #18,Controller,M-V-C Linkage,4
H5,SRS #18,Controller,Separation of Concerns,3
H5,SRS #18,Controller,Functional Completeness,4
H1,SRS #19,Model,Entity Extraction,4
H1,SRS #19,Model,Attribute Accuracy,3
H1,SRS #19,Model,Relationship Logic,3
H1,SRS #19,Model,Naming Consistency,3
H1,SRS #19,View,Screen Coverage,5
H1,SRS #19,View,User Journey Alignment,5
H1,SRS #19,View,Abstraction Level,4
H1,SRS #19,View,Hallucination Control,5
H1,SRS #19,Controller,Action Definition,4
H1,SRS #19,Controller,M-V-C Linkage,4
H1,SRS #19,Controller,Separation of Concerns,4
H1,SRS #19,Controller,Functional Completeness,5
H2,SRS #19,Model,Entity Extraction,3
H2,SRS #19,Model,Attribute Accuracy,3
H2,SRS #19,Model,Relationship Logic,3
H2,SRS #19,Model,Naming Consistency,3
H2,SRS #19,View,Screen Coverage,5
H2,SRS #19,View,User Journey Alignment,5
H2,SRS #19,View,Abstraction Level,5
H2,SRS #19,View,Hallucination Control,4
H2,SRS #19,Controller,Action Definition,4
H2,SRS #19,Controller,M-V-C Linkage,4
H2,SRS #19,Controller,Separation of Concerns,4
H2,SRS #19,Controller,Functional Completeness,4
H3,SRS #19,Model,Entity Extraction,4
H3,SRS #19,Model,Attribute Accuracy,3
H3,SRS #19,Model,Relationship Logic,3
H3,SRS #19,Model,Naming Consistency,3
H3,SRS #19,View,Screen Coverage,5
H3,SRS #19,View,User Journey Alignment,4
H3,SRS #19,View,Abstraction Level,5
H3,SRS #19,View,Hallucination Control,5
H3,SRS #19,Controller,Action Definition,4
H3,SRS #19,Controller,M-V-C Linkage,4
H3,SRS #19,Controller,Separation of Concerns,4
H3,SRS #19,Controller,Functional Completeness,5
H4,SRS #19,Model,Entity Extraction,3
H4,SRS #19,Model,Attribute Accuracy,3
H4,SRS #19,Model,Relationship Logic,3
H4,SRS #19,Model,Naming Consistency,3
H4,SRS #19,View,Screen Coverage,4
H4,SRS #19,View,User Journey Alignment,5
H4,SRS #19,View,Abstraction Level,5
H4,SRS #19,View,Hallucination Control,5
H4,SRS #19,Controller,Action Definition,4
H4,SRS #19,Controller,M-V-C Linkage,4
H4,SRS #19,Controller,Separation of Concerns,4
H4,SRS #19,Controller,Functional Completeness,4
H5,SRS #19,Model,Entity Extraction,4
H5,SRS #19,Model,Attribute Accuracy,3
H5,SRS #19,Model,Relationship Logic,3
H5,SRS #19,Model,Naming Consistency,3
H5,SRS #19,View,Screen Coverage,5
H5,SRS #19,View,User Journey Alignment,5
H5,SRS #19,View,Abstraction Level,4
H5,SRS #19,View,Hallucination Control,5
H5,SRS #19,Controller,Action Definition,4
H5,SRS #19,Controller,M-V-C Linkage,4
H5,SRS #19,Controller,Separation of Concerns,4
H5,SRS #19,Controller,Functional Completeness,4
H1,SRS #20,Model,Entity Extraction,4
H1,SRS #20,Model,Attribute Accuracy,3
H1,SRS #20,Model,Relationship Logic,3
H1,SRS #20,Model,Naming Consistency,4
H1,SRS #20,View,Screen Coverage,4
H1,SRS #20,View,User Journey Alignment,4
H1,SRS #20,View,Abstraction Level,4
H1,SRS #20,View,Hallucination Control,5
H1,SRS #20,Controller,Action Definition,5
H1,SRS #20,Controller,M-V-C Linkage,4
H1,SRS #20,Controller,Separation of Concerns,4
H1,SRS #20,Controller,Functional Completeness,5
H2,SRS #20,Model,Entity Extraction,3
H2,SRS #20,Model,Attribute Accuracy,4
H2,SRS #20,Model,Relationship Logic,4
H2,SRS #20,Model,Naming Consistency,3
H2,SRS #20,View,Screen Coverage,4
H2,SRS #20,View,User Journey Alignment,5
H2,SRS #20,View,Abstraction Level,4
H2,SRS #20,View,Hallucination Control,4
H2,SRS #20,Controller,Action Definition,4
H2,SRS #20,Controller,M-V-C Linkage,5
H2,SRS #20,Controller,Separation of Concerns,5
H2,SRS #20,Controller,Functional Completeness,4
H3,SRS #20,Model,Entity Extraction,4
H3,SRS #20,Model,Attribute Accuracy,3
H3,SRS #20,Model,Relationship Logic,3
H3,SRS #20,Model,Naming Consistency,4
H3,SRS #20,View,Screen Coverage,4
H3,SRS #20,View,User Journey Alignment,4
H3,SRS #20,View,Abstraction Level,5
H3,SRS #20,View,Hallucination Control,5
H3,SRS #20,Controller,Action Definition,5
H3,SRS #20,Controller,M-V-C Linkage,4
H3,SRS #20,Controller,Separation of Concerns,4
H3,SRS #20,Controller,Functional Completeness,5
H4,SRS #20,Model,Entity Extraction,3
H4,SRS #20,Model,Attribute Accuracy,4
H4,SRS #20,Model,Relationship Logic,4
H4,SRS #20,Model,Naming Consistency,3
H4,SRS #20,View,Screen Coverage,4
H4,SRS #20,View,User Journey Alignment,5
H4,SRS #20,View,Abstraction Level,4
H4,SRS #20,View,Hallucination Control,4
H4,SRS #20,Controller,Action Definition,4
H4,SRS #20,Controller,M-V-C Linkage,5
H4,SRS #20,Controller,Separation of Concerns,5
H4,SRS #20,Controller,Functional Completeness,4
H5,SRS #20,Model,Entity Extraction,4
H5,SRS #20,Model,Attribute Accuracy,3
H5,SRS #20,Model,Relationship Logic,3
H5,SRS #20,Model,Naming Consistency,3
H5,SRS #20,View,Screen Coverage,4
H5,SRS #20,View,User Journey Alignment,4
H5,SRS #20,View,Abstraction Level,4
H5,SRS #20,View,Hallucination Control,5
H5,SRS #20,Controller,Action Definition,5
H5,SRS #20,Controller,M-V-C Linkage,4
H5,SRS #20,Controller,Separation of Concerns,4
H5,SRS #20,Controller,Functional Completeness,5
